Mahalleler;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
19 MAYIS;34450;33795;34103;33997;34161;33527;32058;31124;30119;30310;30964;32227;32496;32794;32752
ACIBADEM;34295;33961;32119;32123;32064;31437;30496;30406;30443;30549;30041;30232;29748;29651;29563
BOSTANCI;37061;37952;37996;37881;36587;35820;34140;33142;31399;31450;31585;33191;33789;33819;33638
CADDEBOSTAN;20478;20810;21484;21622;21561;20428;19090;18494;18399;18316;19221;20453;20871;21059;21058
CAFERAĞA;24745;23595;24381;24753;24913;24805;24312;24659;24424;23977;23379;23383;22763;22760;22347
DUMLUPINAR;25907;25333;24847;24149;19750;17469;15327;13215;11328;10985;11718;13104;12802;10501;10185
EĞİTİM;17343;16604;16445;16191;14855;14696;13966;13657;13660;13438;13525;13928;13114;14412;14204
ERENKÖY;37035;36591;37268;37363;37051;36184;34266;32134;30824;31098;32900;35243;36003;35910;35530
FENERBAHÇE;20653;20774;20950;20883;20898;20170;19337;18321;17604;17657;18166;19668;20485;21059;21405
FENERYOLU;27763;27161;27329;27213;27113;26700;25679;25158;24798;24488;24327;25725;26175;26480;26542
FİKİRTEPE;20470;20024;20041;19361;16286;15198;13896;10809;9705;9025;9069;11424;11215;11758;12390
GÖZTEPE;40161;39609;40492;41453;41206;39533;37190;35534;34576;35260;37013;39833;40424;40865;40858
HASANPAŞA;16200;15585;15526;15412;15581;15567;15364;15653;15808;15577;15241;15442;14556;15775;16564
KOŞUYOLU;6684;6952;8501;8374;8388;8149;8194;8161;8027;7839;7694;7663;7446;7163;6912
KOZYATAĞI;37785;37416;37712;38072;38926;37909;36358;34973;33939;34164;35230;37184;37657;37823;37743
MERDİVENKÖY;42739;41793;41822;41315;39815;38658;36335;35264;33557;33166;33582;34547;34336;32516;32395
OSMANAĞA;5980;7502;7632;7764;8120;8280;8133;8266;8490;8466;8487;9762;9039;10023;8652
RASİMPAŞA;13717;13791;13874;13918;14174;14143;13900;14169;14198;14276;13898;14016;12813;13733;13369
SAHRAYICEDİT;34055;33775;33827;33678;33519;33099;32163;31872;30929;30833;30901;31670;31492;31688;31423
SUADİYE;27700;27836;28024;27975;27699;26302;24345;22753;21909;22484;23690;25890;26560;27132;27120
ZÜHTÜPAŞA;8231;8332;8462;8500;8338;8219;8022;8190;8166;8095;8007;8128;8199;8312;8414
TOPLAM;533452;529191;532835;531997;521005;506293;482571;465954;452302;451453;458638;482713;481983;485233;483064
